condition,ils,replicate,sequence_length,analysis_model,unweighted_nrf,contracted_unweighted_nrf,weighted_nrf,hybrid_weighted_nrf,delta_weighted_minus_unweighted,delta_weighted_minus_contracted,delta_hybrid_minus_unweighted,delta_hybrid_minus_contracted
ils=high|rep=01|length=200|model=jc,high,1,200,jc,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.0,0.0,-0.05555555555555558,-0.05555555555555558
ils=high|rep=01|length=800|model=gtr_g4,high,1,800,gtr_g4,0.6111111111111112,0.5,0.5555555555555556,0.5555555555555556,-0.05555555555555558,0.05555555555555558,-0.05555555555555558,0.05555555555555558
ils=high|rep=01|length=800|model=gtr,high,1,800,gtr,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,-0.05555555555555558,0.0,-0.05555555555555558,0.0
ils=high|rep=01|length=800|model=hky_g4,high,1,800,hky_g4,0.6666666666666666,0.5,0.5555555555555556,0.5555555555555556,-0.11111111111111105,0.05555555555555558,-0.11111111111111105,0.05555555555555558
ils=high|rep=01|length=800|model=hky,high,1,800,hky,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,-0.05555555555555558,0.0,-0.05555555555555558,0.0
ils=high|rep=01|length=800|model=jc,high,1,800,jc,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0
ils=high|rep=02|length=200|model=gtr_g4,high,2,200,gtr_g4,0.4444444444444444,0.2777777777777778,0.3333333333333333,0.2777777777777778,-0.1111111111111111,0.055555555555555525,-0.16666666666666663,0.0
ils=high|rep=02|length=200|model=gtr,high,2,200,gtr,0.5,0.4444444444444444,0.3333333333333333,0.2222222222222222,-0.16666666666666669,-0.1111111111111111,-0.2777777777777778,-0.2222222222222222
ils=high|rep=02|length=200|model=hky_g4,high,2,200,hky_g4,0.3888888888888889,0.2222222222222222,0.3333333333333333,0.2222222222222222,-0.05555555555555558,0.1111111111111111,-0.16666666666666669,0.0
ils=high|rep=02|length=200|model=hky,high,2,200,hky,0.5,0.3888888888888889,0.4444444444444444,0.2777777777777778,-0.05555555555555558,0.055555555555555525,-0.2222222222222222,-0.1111111111111111
