condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=800|model=hky_g4,"[0.95,0.99)",26,24,0.9727307692307693,0.9230769230769231,0.7585805251948495,0.9786453608166245
ils=high|length=800|model=hky_g4,"[0.99,1]",80,78,0.9989375,0.975,0.9133539994467789,0.9931172511018748
ils=high|length=800|model=jc,"[0,0.5)",75,10,0.33725333333333335,0.13333333333333333,0.0740650509941473,0.22833368266929943
ils=high|length=800|model=jc,"[0.5,0.7)",8,2,0.598,0.25,0.07147768885802763,0.5907301208974108
ils=high|length=800|model=jc,"[0.7,0.9)",13,4,0.8082307692307692,0.3076923076923077,0.12680497161618087,0.5763111218666236
ils=high|length=800|model=jc,"[0.9,0.95)",9,3,0.9364444444444445,0.3333333333333333,0.12058159868274293,0.6458026525009102
ils=high|length=800|model=jc,"[0.95,0.99)",22,16,0.9802727272727272,0.7272727272727273,0.5184787630099802,0.8684941798418556
ils=high|length=800|model=jc,"[0.99,1]",123,103,0.9986341463414634,0.8373983739837398,0.7621542381593724,0.8922052148907309
ils=low|length=200|model=gtr,"[0,0.5)",49,2,0.34124489795918367,0.04081632653061224,0.011265396927928273,0.13713283476831106
ils=low|length=200|model=gtr,"[0.5,0.7)",22,2,0.6115909090909091,0.09090909090909091,0.025294896282837792,0.2781538065838578
ils=low|length=200|model=gtr,"[0.7,0.9)",19,8,0.8131578947368421,0.42105263157894735,0.2314162039203038,0.6372444853483988
ils=low|length=200|model=gtr,"[0.9,0.95)",16,6,0.9270625,0.375,0.18480982554752806,0.613593529020652
ils=low|length=200|model=gtr,"[0.95,0.99)",20,11,0.9730000000000001,0.55,0.3420820083075997,0.7418049791429071
ils=low|length=200|model=gtr,"[0.99,1]",59,44,0.9978983050847458,0.7457627118644068,0.6220361301768266,0.8394416170479418
ils=low|length=200|model=gtr_g4,"[0,0.5)",81,14,0.3545925925925926,0.1728395061728395,0.10584307626279289,0.2694633771751432
ils=low|length=200|model=gtr_g4,"[0.5,0.7)",23,10,0.6036521739130435,0.43478260869565216,0.25634368332198654,0.6318895069498304
ils=low|length=200|model=gtr_g4,"[0.7,0.9)",16,9,0.7988124999999999,0.5625,0.33178195606776517,0.7690163666481448
ils=low|length=200|model=gtr_g4,"[0.9,0.95)",4,4,0.9157500000000001,1.0,0.5100999795960008,1
ils=low|length=200|model=gtr_g4,"[0.95,0.99)",14,11,0.9770714285714286,0.7857142857142857,0.5241027622679172,0.9242875166308363
ils=low|length=200|model=gtr_g4,"[0.99,1]",47,43,0.9978085106382978,0.9148936170212766,0.8006819480497736,0.9664064205302869
ils=low|length=200|model=hky,"[0,0.5)",50,2,0.34626000000000007,0.04,0.011038652660826577,0.13460337877954667
ils=low|length=200|model=hky,"[0.5,0.7)",18,2,0.6265555555555555,0.1111111111111111,0.031018868453582787,0.3280024486660421
